anio,mes,lugar_venta,tamanio,sabor,origen,codigo_por_sabor,producto,total_venta
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,633.222816
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-3.2599999999999997e-13
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-3.0899999999999996e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6.3200000000000005e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3.4400000000000003e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,61.647251000000004
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3266.6437260000002
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,2421.640076
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,6.48e-14
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4810.274717
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2020.0066
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,981.949973
2019,Feb,Mexico,Regular,Verde,Norte,206054370,Tamal mix,30.295894
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3309.61572
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,0.739697
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,22444.49865
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,15239.6095
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,6.91e-14
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,12620.85139
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,847.48142
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4e-14
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,0.105565
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,25725.057569999997
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,4.53e-12
2019,Feb,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,-1.53e-13
2019,Feb,Mexico,Regular,Cajeta,Norte,ABYT055818,Atole mix,8.6e-16
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,1.53e-14
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,958.78854
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,7.31e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4.69e-14
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,5e-16
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-4.68e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.1e-13
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-2.96e-15
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2775.5378960000003
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,9.890000000000001e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-1.2399999999999999e-10
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,2027.615148
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,33021.2537
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,3153.22264
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.49e-13
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1.3800000000000002e-13
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,4442.30265
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,539.23905
2019,Feb,Mexico,Regular,Verde,Norte,206054370,Tamal mix,154.004748
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,7460.112335
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,5.5e-12
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-2.5499999999999997e-13
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,-8.68e-14
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,2.2200000000000001e-13
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,-7.47e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,0.528355
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,16641.42528
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,14679.2123
2019,Feb,Mexico,Regular,Arroz,Norte,ABYT057271,Atole mix,-2.5099999999999996e-12
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,7970.763529999999
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,1812.25765
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,266.34372
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,5876.316682
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,2.6600000000000003e-13
2019,Feb,Mexico,Regular,Mole,Norte,206051447,Tamal mix,3573.7932200000005
2019,Feb,Mexico,Regular,Dulce,Norte,206050084,Tamal mix,4.8899999999999996e-12
